приложения недоступен	application unavailable	Anwendung nicht verfügbar	aplicación no disponible
Общие звёзды	Shared stars	Gemeinsame Sterne	Estrellas compartidas
Монеты «Библейских слов»	Bible Words coins	Münzen in Bibelwörter	Monedas de Palabras bíblicas
Уровень «Священного слова»	Sacred Word level	Level in Heiliges Wort	Nivel de Palabra sagrada
Ярлык умеет создавать только	A shortcut can only be created by	Eine Verknüpfung kann nur erstellt werden mit	Solo se puede crear un acceso directo desde
поэтому сначала откройте приложение в нём.	so open the app there first.	öffne die App daher zuerst dort.	así que abre la aplicación allí primero.
Открыть в	Open in	Öffnen in	Abrir en
Дальше — в открывшемся	Then, in the opened	Danach im geöffneten	Después, en el
Приложение на главный экран	Add app to home screen	App zum Home-Bildschirm hinzufügen	Añadir aplicación a inicio
Нажмите	Tap	Tippe auf	Pulsa
три точки в правом нижнем углу	the three dots in the bottom right	die drei Punkte unten rechts	los tres puntos de la esquina inferior derecha
В списке нажмите	In the list, tap	Tippe in der Liste auf	En la lista, pulsa
Поделиться»	Share”	Teilen“	Compartir»
Пролистайте и выберите	Scroll and choose	Scrolle und wähle	Desplázate y elige
На экран	Add to	Zum	Añadir a
Домой	Home Screen	Home-Bildschirm	pantalla de inicio
Добавить»	Add”	Hinzufügen“	Añadir»
появится значок «Библейские игры».	the Bible Games icon will appear.	das Symbol Bibelspiele erscheint.	aparecerá el icono de Juegos bíblicos.
После установки откройте каждую игру по разу — картинки и поля	After installing, open each game once. Images and boards	Öffne nach der Installation jedes Spiel einmal. Bilder und Spielfelder	Después de instalar, abre cada juego una vez. Las imágenes y los tableros
догрузятся в память телефона, и дальше игра пойдёт без интернета.	will be saved on your phone so you can play offline.	werden auf dem Handy gespeichert, damit du offline spielen kannst.	se guardarán en el teléfono para poder jugar sin conexión.
Правила и уровни сохраняются сразу, а рисунки — только когда вы их	Rules and levels are saved immediately; images only when you	Regeln und Level werden sofort gespeichert, Bilder erst, wenn du sie	Las reglas y los niveles se guardan de inmediato; las imágenes, cuando las
однажды увидите.	view them for the first time.	zum ersten Mal siehst.	ves por primera vez.
Чтобы прогресс совпал с	To keep your progress in sync with	Damit dein Fortschritt übereinstimmt mit	Para sincronizar el progreso con
после установки зайдите в профиль	sign in to your profile after installing	melde dich nach der Installation an	inicia sesión después de instalar
по коду из бота — карточка «Вход в профиль» в меню внизу.	using a bot code via Sign in at the bottom of the menu.	mit einem Botcode über Anmelden unten im Menü.	con un código del bot desde Iniciar sesión al final del menú.
Проверка: так это увидит человек с	Preview: this is what a person using this will see:	Vorschau für Nutzer von	Vista previa para usuarios de
Ярлык на главный экран, полный экран и игра без интернета	Home screen shortcut, full screen and offline play	Home-Verknüpfung, Vollbild und Offlinespiel	Acceso directo, pantalla completa y juego sin conexión
Иконка установки на	Install icon for	Installationssymbol für	Icono de instalación en
Установить на	Install on	Installieren auf	Instalar en
Нет связи с сервером. Проверьте интернет и попробуйте ещё раз	Server unavailable. Check your connection and try again	Server nicht erreichbar. Prüfe die Verbindung und versuche es erneut	Sin conexión al servidor. Revisa la conexión y reinténtalo
Опубликованные игроки	Published players	Veröffentlichte Spieler	Jugadores publicados
Имя или	Name or	Name oder	Nombre o
Загрузка…	Loading…	Wird geladen…	Cargando…
Очки, начисленные за игру, остаются на месте: правка сохраняется отдельно	Earned game points stay unchanged: adjustments are saved separately	Erspielte Punkte bleiben erhalten: Änderungen werden separat gespeichert	Los puntos ganados se mantienen: el ajuste se guarda por separado
и не сотрётся следующей синхронизацией прогресса.	and will not be erased by the next progress sync.	und bei der nächsten Synchronisierung nicht gelöscht.	y no se borrará en la próxima sincronización.
Никого не нашлось	No one found	Niemand gefunden	No se encontró a nadie
скрыт из рейтинга	hidden from leaderboard	in der Rangliste ausgeblendet	oculto en la clasificación
Показать	Show	Anzeigen	Mostrar
Имя в рейтинге	Leaderboard name	Name in der Rangliste	Nombre en la clasificación
Очки	Points	Punkte	Puntos
Имя не может быть пустым	Name cannot be empty	Name darf nicht leer sein	El nombre no puede estar vacío
Игрок показан в рейтинге	Player shown on leaderboard	Spieler in Rangliste eingeblendet	Jugador visible en la clasificación
Игрок скрыт из рейтинга	Player hidden from leaderboard	Spieler in Rangliste ausgeblendet	Jugador oculto en la clasificación
уровней	levels	Level	niveles
уровень	level	Level	nivel
Приложение ещё не готово	App is not ready yet	App ist noch nicht bereit	La aplicación aún no está lista
Нужен вход в профиль	Sign in required	Anmeldung erforderlich	Debes iniciar sesión
Все игры	All games	Alle Spiele	Todos los juegos
Вы в общем рейтинге как	You appear on the leaderboard as	Du erscheinst in der Rangliste als	Apareces en la clasificación como
Ваши очки видите только вы	Only you can see your points	Nur du kannst deine Punkte sehen	Solo tú puedes ver tus puntos
Ваши очки пути	Your journey points	Deine Wegpunkte	Tus puntos del camino
Участие в рейтинге — дело добровольное	Joining the leaderboard is optional	Die Teilnahme an der Rangliste ist freiwillig	Participar en la clasificación es voluntario
Пока вы не нажали кнопку ниже, вашего имени нет ни в одном списке — очки	Until you tap the button below, your name is not listed. Points	Solange du nicht auf die Schaltfläche unten tippst, wird dein Name nicht gelistet. Punkte	Hasta que pulses el botón de abajo, tu nombre no aparecerá en ninguna lista. Los puntos
считаются, но видите их только вы.	are counted but visible only to you.	werden gezählt, sind aber nur für dich sichtbar.	se cuentan, pero solo tú los ves.
Если опубликуете рейтинг	If you publish your ranking	Wenn du deine Rangliste veröffentlichst	Si publicas tu clasificación
ваше имя и количество очков увидят все игроки	all players will see your name and points	sehen alle Spieler deinen Namen und deine Punkte	todos los jugadores verán tu nombre y tus puntos
приложения	application	Anwendung	aplicación
не показывается никому и никогда.	is never shown to anyone.	wird niemals jemandem angezeigt.	nunca se muestra a nadie.
Как вас показывать	Display name	Anzeigename	Nombre visible
Можно указать любое — настоящее имя не требуется. Поменять можно в любой момент.	Choose any name. Your real name is not required, and you can change it anytime.	Wähle einen beliebigen Namen. Dein echter Name ist nicht nötig. Du kannst ihn jederzeit ändern.	Elige cualquier nombre. No tiene que ser el real y puedes cambiarlo cuando quieras.
Опубликовать мой рейтинг	Publish my ranking	Meinen Rang veröffentlichen	Publicar mi clasificación
Не сейчас	Not now	Jetzt nicht	Ahora no
Убрать себя из рейтинга можно в любой момент — очки при этом сохранятся.	You can leave the leaderboard anytime and keep your points.	Du kannst die Rangliste jederzeit verlassen und deine Punkte behalten.	Puedes salir de la clasificación cuando quieras y conservar tus puntos.
вы	you	du	tú
место	place	Platz	puesto
Без места	Unranked	Ohne Platz	Sin puesto
Вас нет в общем списке	You are not on the public list	Du stehst nicht in der öffentlichen Liste	No estás en la lista pública
Опубликовать	Publish	Veröffentlichen	Publicar
Пока никто не опубликовал свой рейтинг. Будьте первым.	No one has published a ranking yet. Be the first.	Noch hat niemand seinen Rang veröffentlicht. Sei der Erste.	Nadie ha publicado su clasificación aún. Sé el primero.
Сменить имя	Change name	Namen ändern	Cambiar nombre
Убрать из рейтинга	Leave leaderboard	Rangliste verlassen	Salir de la clasificación
Общий рейтинг	Leaderboard	Gesamtrangliste	Clasificación general
игроков	players	Spieler	jugadores
Начать игры заново	Restart games	Spiele neu beginnen	Reiniciar juegos
Вход в профиль истёк	Sign-in expired	Anmeldung abgelaufen	La sesión ha caducado
Рейтинг привязан к профилю	Rankings are linked to your profile	Die Rangliste ist mit deinem Profil verknüpft	La clasificación está vinculada a tu perfil
Войти по коду из бота	Sign in with a bot code	Mit Botcode anmelden	Entrar con un código del bot
Откройте приложение в	Open the app in	Öffne die App in	Abre la aplicación en
там вход не нужен.	no sign-in is needed there.	dort ist keine Anmeldung nötig.	allí no necesitas iniciar sesión.
Очки собираются по вашему профилю	Points are tracked using your profile	Punkte werden über dein Profil erfasst	Los puntos se registran en tu perfil
иначе сервер не знает, чей это	otherwise the server cannot identify whose	sonst weiß der Server nicht, wem dieser	de lo contrario, el servidor no sabe de quién es el
прогресс. В приложении на главном экране профиль подключается кодом из бота	progress it is. In the installed app, connect your profile using a bot code	Fortschritt gehört. In der installierten App verbindest du dein Profil per Botcode	progreso. En la aplicación instalada, vincula tu perfil con un código del bot
после входа рейтинг, звёзды и уровни будут те же, что в	after signing in, rankings, stars and levels match those in	nach der Anmeldung stimmen Rangliste, Sterne und Level überein mit	al entrar, la clasificación, estrellas y niveles serán los mismos que en
Введите имя для рейтинга	Enter a leaderboard name	Gib einen Ranglistennamen ein	Introduce un nombre para la clasificación
Ваш рейтинг опубликован	Your ranking is published	Dein Rang ist veröffentlicht	Tu clasificación está publicada
Не удалось опубликовать рейтинг	Could not publish ranking	Rang konnte nicht veröffentlicht werden	No se pudo publicar la clasificación
Имя обновлено	Name updated	Name aktualisiert	Nombre actualizado
Не удалось сменить имя	Could not change name	Name konnte nicht geändert werden	No se pudo cambiar el nombre
Убрать себя из общего рейтинга? Очки сохранятся, но другие игроки вас не увидят.	Leave the public leaderboard? You keep your points, but other players will not see you.	Öffentliche Rangliste verlassen? Deine Punkte bleiben, aber andere Spieler sehen dich nicht mehr.	¿Salir de la clasificación pública? Conservarás tus puntos, pero los demás no te verán.
Вы больше не в общем рейтинге	You have left the public leaderboard	Du hast die öffentliche Rangliste verlassen	Has salido de la clasificación pública
Не удалось выйти из рейтинга	Could not leave leaderboard	Rangliste konnte nicht verlassen werden	No se pudo salir de la clasificación
Считаем ваши очки…	Calculating your points…	Deine Punkte werden berechnet…	Calculando tus puntos…
Попробуйте позже	Try later	Versuche es später	Inténtalo más tarde
Рейтинг сейчас недоступен	Leaderboard is unavailable	Rangliste derzeit nicht verfügbar	Clasificación no disponible
Иконка раздела Рейтинг	Leaderboard icon	Ranglistensymbol	Icono de clasificación
Очки за все игры и общий список игроков	Points from all games and a shared player list	Punkte aus allen Spielen und eine gemeinsame Spielerliste	Puntos de todos los juegos y lista general de jugadores
Скрыть уведомление	Dismiss notification	Hinweis ausblenden	Ocultar aviso
Новое	New	Neu	Nuevo
Рейтинг игроков	Player rankings	Spielerrangliste	Clasificación de jugadores
Очки за все пройденные уровни теперь складываются в один счёт. Посмотрите свой	Points from all completed levels now add up to one score. Check your	Punkte aus allen abgeschlossenen Leveln ergeben jetzt eine Gesamtpunktzahl. Sieh dir dein	Los puntos de todos los niveles completados se suman ahora. Consulta tu
результат и, если захотите, встаньте в общий список под любым именем.	result and, if you wish, join the leaderboard under any name.	Ergebnis an und tritt auf Wunsch unter einem beliebigen Namen der Rangliste bei.	resultado y, si quieres, únete a la lista con cualquier nombre.
Посмотреть рейтинг	View leaderboard	Rangliste ansehen	Ver clasificación
Ещё	More	Mehr	Más
Иконка раздела Ещё	More section icon	Symbol für Mehr	Icono de Más
Профиль, правила, рейтинг, поддержка и установка	Profile, rules, leaderboard, support and installation	Profil, Regeln, Rangliste, Support und Installation	Perfil, reglas, clasificación, soporte e instalación
запись ждёт	entry waiting	Eintrag wartet	registro pendiente
записей ждут	entries waiting	Einträge warten	registros pendientes
Нет сети — играете офлайн.	No connection — playing offline.	Keine Verbindung — du spielst offline.	Sin conexión — estás jugando sin internet.
отправки	to send	zum Senden	de envío
Нет сети — играете офлайн, прогресс сохраняется на устройстве	Offline — progress is saved on this device	Offline — Fortschritt wird auf diesem Gerät gespeichert	Sin conexión — el progreso se guarda en este dispositivo
Связь вернулась — отправляем сохранённое	Back online — syncing saved progress	Wieder online — gespeicherter Fortschritt wird synchronisiert	Conexión recuperada — sincronizando el progreso
Готово обновление приложения	App update ready	App-Update bereit	Actualización disponible
уровня	level	Level	nivel
Сбросить	Reset	Zurücksetzen	Reiniciar
Прогресс	Progress	Fortschritt	Progreso
Начать заново	Start over	Neu beginnen	Empezar de nuevo
Сброс убирает пройденные уровни и	Reset removes completed levels and	Zurücksetzen entfernt abgeschlossene Level und	El reinicio elimina los niveles completados y
откатывает очки рейтинга	resets leaderboard points	setzt die Ranglistenpunkte zurück	restablece los puntos de clasificación
за них.	earned from them.	die dafür erspielt wurden.	obtenidos en ellos.
Заработанные звёзды остаются — их не отбираем.	Your earned stars are kept.	Deine verdienten Sterne bleiben erhalten.	Conservas las estrellas ganadas.
Сбросить всё	Reset all	Alles zurücksetzen	Reiniciar todo
Отменить сброс нельзя. Прогресс хранится на этом устройстве, поэтому на других он останется, пока они не синхронизируются.	Reset cannot be undone. Progress on other devices remains until they sync.	Das Zurücksetzen kann nicht rückgängig gemacht werden. Fortschritt auf anderen Geräten bleibt bis zur Synchronisierung erhalten.	El reinicio no se puede deshacer. El progreso en otros dispositivos se conserva hasta que se sincronicen.
Отмена	Cancel	Abbrechen	Cancelar
Сброшено. Из рейтинга ушло	Reset. Leaderboard points removed:	Zurückgesetzt. Entfernte Ranglistenpunkte:	Reiniciado. Puntos eliminados de la clasificación:
очков	points	Punkte	puntos
Сброшено, рейтинг пересчитан	Reset; leaderboard recalculated	Zurückgesetzt; Rangliste neu berechnet	Reiniciado; clasificación recalculada
Сброшено. Рейтинг пересчитается, когда появится связь	Reset. Leaderboard will update when back online	Zurückgesetzt. Rangliste wird aktualisiert, sobald du wieder online bist	Reiniciado. La clasificación se actualizará al recuperar la conexión
Очки рейтинга за пройденные уровни этой игры вернутся к нулю.	Leaderboard points for completed levels in this game will return to zero.	Ranglistenpunkte für abgeschlossene Level dieses Spiels werden auf null gesetzt.	Los puntos por niveles completados en este juego volverán a cero.
Сбросить весь прогресс?	Reset all progress?	Gesamten Fortschritt zurücksetzen?	¿Reiniciar todo el progreso?
Все пройденные уровни всех игр будут забыты, а очки рейтинга пересчитаны с нуля. Звёзды останутся.	All completed levels will be reset and leaderboard points recalculated from zero. Stars will remain.	Alle abgeschlossenen Level werden zurückgesetzt und Ranglistenpunkte von null neu berechnet. Sterne bleiben erhalten.	Se reiniciarán todos los niveles completados y los puntos desde cero. Las estrellas se conservarán.
Чат комнаты	Room chat	Raumchat	Chat de la sala
Подключение…	Connecting…	Verbindung wird hergestellt…	Conectando…
Сообщение…	Message…	Nachricht…	Mensaje…
Подключаем чат…	Connecting chat…	Chat wird verbunden…	Conectando chat…
Чат временно недоступен	Chat temporarily unavailable	Chat vorübergehend nicht verfügbar	Chat temporalmente no disponible
Онлайн	Online	Online	En línea
Ошибка чата	Chat error	Chatfehler	Error de chat
Нет связи	No connection	Keine Verbindung	Sin conexión
Сообщений пока нет	No messages yet	Noch keine Nachrichten	Aún no hay mensajes
Выбран	Selected	Ausgewählt	Seleccionado
Выбрана	Selected	Ausgewählt	Seleccionada
Нажмите, чтобы выбрать	Tap to select	Zum Auswählen tippen	Pulsa para seleccionar
Выберите игрока	Select a player	Spieler auswählen	Elige un jugador
Выберите карту	Select a card	Karte auswählen	Elige una carta
Спросить карту	Ask for card	Nach Karte fragen	Pedir carta
Сделайте 2 выбора	Make 2 selections	Triff 2 Auswahlen	Haz 2 selecciones
Шаг 1	Step 1	Schritt 1	Paso 1
выбери, у кого спросить карту	choose whom to ask for a card	wähle, wen du nach einer Karte fragst	elige a quién pedir una carta
Сейчас действует	Now playing	Jetzt am Zug	Juega ahora
игрок	player	Spieler	jugador
в партии	in the game	im Spiel	en la partida
Твоя рука	Your hand	Deine Hand	Tu mano
Шаг 2	Step 2	Schritt 2	Paso 2
выбери недостающую карту	choose a missing card	wähle eine fehlende Karte	elige una carta que te falte
Можно заранее продумать следующий запрос	You can plan your next request	Du kannst deine nächste Anfrage planen	Puedes planear tu próxima petición
Ваш ход	Your turn	Du bist dran	Tu turno
Выберите карту и соперника	Choose a card and opponent	Wähle eine Karte und einen Mitspieler	Elige una carta y un rival
код комнаты	room code	Raumcode	código de sala
Быстрый выбор соперника	Quick opponent selection	Schnelle Mitspielerauswahl	Selección rápida de rival
Соперник	Opponent	Mitspieler	Rival
Карта	Card	Karte	Carta
Ожидайте хода другого игрока	Wait for the other player	Warte auf den anderen Spieler	Espera el turno del otro jugador
Ожидайте хода	Wait for your turn	Warte auf deinen Zug	Espera tu turno
В любом порядке	In any order	In beliebiger Reihenfolge	En cualquier orden
Панель обновится	Panel will refresh	Bereich wird aktualisiert	El panel se actualizará
недостающая карта. Нажмите, чтобы выбрать	missing card. Tap to select	fehlende Karte. Zum Auswählen tippen	carta que falta. Pulsa para seleccionar
Код комнаты пока недоступен	Room code not available yet	Raumcode noch nicht verfügbar	El código de sala aún no está disponible
код ещё загружается. Попробуйте снова.	code is still loading. Try again.	Code wird noch geladen. Versuche es erneut.	el código sigue cargando. Reinténtalo.
Не удалось открыть	Could not open	Öffnen fehlgeschlagen	No se pudo abrir
код	code	Code	código
Иоанн	John	Johannes	Juan
Иаков	Jacob	Jakob	Jacob
Один короткий вопрос	One quick question	Eine kurze Frage	Una pregunta rápida
Откуда вы узнали о «Библейских играх»?	How did you hear about Bible Games?	Wie hast du von Bibelspiele erfahren?	¿Cómo conociste Juegos bíblicos?
Напишите своими словами. Это поможет понять, где люди находят приложение и что стоит развивать дальше.	Tell us in your own words. This helps us understand how people find the app and what to develop next.	Erzähl es uns in deinen eigenen Worten. So erfahren wir, wie Menschen die App finden und was wir weiterentwickeln sollten.	Cuéntanos con tus palabras. Nos ayuda a saber cómo encontráis la aplicación y qué desarrollar después.
Ваш ответ	Your answer	Deine Antwort	Tu respuesta
Например: рассказал друг, увидел в	For example: a friend told me, I saw it in	Zum Beispiel: Ein Freund hat es erzählt, gesehen in	Por ejemplo: me lo contó un amigo, lo vi en un
канале, нашёл через поиск…	a channel, found it through search…	einem Kanal, über die Suche gefunden…	canal, lo encontré buscando…
Напишите хотя бы пару слов	Write at least a few words	Schreib mindestens ein paar Worte	Escribe al menos unas palabras
Присоединиться к игре	Join game	Spiel beitreten	Unirse al juego
Подключение по	Connect via	Verbinden über	Conectar mediante
Откройте «Сканировать	Open “Scan	Öffne „Scannen	Abre «Escanear
в «Библейских играх» на другом телефоне.	in Bible Games on another phone.	in Bibelspiele auf einem anderen Handy.	en Juegos bíblicos en otro teléfono.
Создаём	Creating	Wird erstellt	Creando
Код комнаты	Room code	Raumcode	Código de sala
Скопировать ссылку	Copy link	Link kopieren	Copiar enlace
Поделиться	Share	Teilen	Compartir
Не удалось подготовить	Could not prepare	Vorbereitung fehlgeschlagen	No se pudo preparar
ссылку. Попробуйте ещё раз.	link. Try again.	Link. Versuche es erneut.	enlace. Reinténtalo.
ссылка скопирована	link copied	Link kopiert	enlace copiado
Присоединяйтесь к комнате	Join the room	Tritt dem Raum bei	Únete a la sala
в «Библейских играх»	in Bible Games	in Bibelspiele	en Juegos bíblicos
Не удалось открыть меню «Поделиться»	Could not open share menu	Teilen-Menü konnte nicht geöffnet werden	No se pudo abrir el menú Compartir
не удалось загрузить. Используйте код комнаты.	could not be loaded. Use the room code.	konnte nicht geladen werden. Nutze den Raumcode.	no se pudo cargar. Usa el código de sala.
Сканировать	Scan	Scannen	Escanear
Подключиться к комнате камерой	Join a room using your camera	Mit der Kamera einem Raum beitreten	Unirse a una sala con la cámara
подключение к комнате	joining room	Raum beitreten	conexión a la sala
ссылку	link	Link	enlace
Не удалось поделиться ссылкой	Could not share link	Link konnte nicht geteilt werden	No se pudo compartir el enlace
БИБЛЕЙСКИЕ ИГРЫ	BIBLE GAMES	BIBELSPIELE	JUEGOS BÍBLICOS
Сканирование	Scanning	Scannen	Escaneo
доступно во встроенном приложении	available in the native app	in der nativen App verfügbar	disponible en la aplicación nativa
Не удалось открыть сканер	Could not open scanner	Scanner konnte nicht geöffnet werden	No se pudo abrir el escáner
Сервис профиля не настроен	Profile service not configured	Profildienst nicht eingerichtet	Servicio de perfil sin configurar
Профиль доступен только внутри	Profile is only available in	Profil nur verfügbar in	Perfil disponible solo en
Профиль и избранное	Profile and favorites	Profil und Favoriten	Perfil y favoritos
Открыть избранные игры	Open favorite games	Lieblingsspiele öffnen	Abrir juegos favoritos
Избранное	Favorites	Favoriten	Favoritos
Открыть профиль	Open profile	Profil öffnen	Abrir perfil
Профиль	Profile	Profil	Perfil
Ваш игровой профиль	Your gaming profile	Dein Spielprofil	Tu perfil de juego
Закрыть профиль	Close profile	Profil schließen	Cerrar perfil
Разделы профиля	Profile sections	Profilbereiche	Secciones del perfil
Загружаем профиль…	Loading profile…	Profil wird geladen…	Cargando perfil…
Не удалось открыть профиль	Could not open profile	Profil konnte nicht geöffnet werden	No se pudo abrir el perfil
не указан	not specified	nicht angegeben	no indicado
Сокровища	Treasures	Schätze	Tesoros
по вашей статистике	based on your statistics	laut deiner Statistik	según tus estadísticas
пока нет данных	no data yet	noch keine Daten	aún sin datos
Откройте любую игру — здесь появится статистика.	Open any game to see statistics here.	Öffne ein Spiel, um hier Statistiken zu sehen.	Abre cualquier juego para ver aquí las estadísticas.
Игровой профиль	Gaming profile	Spielprofil	Perfil de juego
партий	games	Partien	partidas
друзей	friends	Freunde	amigos
избранных	favorites	Favoriten	favoritos
Игровые показатели	Game statistics	Spielstatistik	Estadísticas de juego
синхронизируются с облаком	synced to the cloud	mit der Cloud synchronisiert	sincronizados con la nube
Чаще играете	Most played	Am häufigsten gespielt	Más jugado
Список друзей пока пуст	Your friends list is empty	Deine Freundesliste ist noch leer	Tu lista de amigos está vacía
Найдите человека по	Find someone by	Finde jemanden anhand von	Busca a alguien por
После добавления вы сможете приглашать его прямо в игровые комнаты.	Once added, you can invite them directly to game rooms.	Nach dem Hinzufügen kannst du diese Person direkt in Spielräume einladen.	Después de añadirlo, podrás invitarlo directamente a las salas.
Найти	Find	Finden	Buscar
Мои друзья	My friends	Meine Freunde	Mis amigos
Удалить	Remove	Entfernen	Eliminar
Друг	Friend	Freund	Amigo
В избранном	Favorited	Als Favorit gespeichert	En favoritos
Добавить	Add	Hinzufügen	Añadir
Избранные игры	Favorite games	Lieblingsspiele	Juegos favoritos
Отмеченные игры сохраняются в вашем профиле и доступны на любом устройстве.	Favorite games are saved to your profile and available on any device.	Markierte Spiele werden in deinem Profil gespeichert und sind auf jedem Gerät verfügbar.	Los juegos favoritos se guardan en tu perfil y están disponibles en cualquier dispositivo.
Ищем игрока…	Finding player…	Spieler wird gesucht…	Buscando jugador…
Игрок не найден. Он должен хотя бы один раз открыть «Библейские игры».	Player not found. They must open Bible Games at least once.	Spieler nicht gefunden. Er muss Bibelspiele mindestens einmal öffnen.	Jugador no encontrado. Debe abrir Juegos bíblicos al menos una vez.
Это ваш собственный профиль.	This is your own profile.	Das ist dein eigenes Profil.	Este es tu propio perfil.
Игрок добавлен в друзья	Player added as friend	Spieler als Freund hinzugefügt	Jugador añadido a amigos
Игрок удалён из друзей	Player removed from friends	Spieler aus Freundesliste entfernt	Jugador eliminado de amigos
Добавлено в избранное	Added to favorites	Zu Favoriten hinzugefügt	Añadido a favoritos
Удалено из избранного	Removed from favorites	Aus Favoriten entfernt	Eliminado de favoritos
Не удалось скопировать	Could not copy	Kopieren fehlgeschlagen	No se pudo copiar
партия	game	Partie	partida
партии	games	Partien	partidas
Всё готово!	Ready!	Alles bereit!	¡Todo listo!
Не удалось завершить запуск приложения.	Could not finish starting the app.	App-Start konnte nicht abgeschlossen werden.	No se pudo completar el inicio de la aplicación.
Попробуем ещё раз	Let us try again	Noch einmal versuchen	Vamos a intentarlo de nuevo
Готовим игры…	Preparing games…	Spiele werden vorbereitet…	Preparando juegos…
Собираем игровое пространство…	Building your game world…	Deine Spielwelt entsteht…	Creando tu mundo de juegos…
Почти готово…	Almost ready…	Fast fertig…	Casi listo…
Ещё немного…	Just a moment…	Einen Moment noch…	Un momento más…
Техническая проблема	Technical issue	Technisches Problem	Problema técnico
Проблема с игрой	Game issue	Spielproblem	Problema con el juego
Аккаунт и прогресс	Account and progress	Konto und Fortschritt	Cuenta y progreso
Предложение	Suggestion	Vorschlag	Sugerencia
Другое	Other	Sonstiges	Otro
Техподдержка	Support	Support	Soporte
Вы	You	Du	Tú
История обращений доступна при открытии приложения через	Support history is available when opening the app through	Supportverlauf ist verfügbar, wenn du die App öffnest über	El historial está disponible al abrir la aplicación desde
У вас пока нет обращений.	You have no support requests yet.	Du hast noch keine Supportanfragen.	Aún no tienes consultas.
Не удалось загрузить обращения	Could not load requests	Anfragen konnten nicht geladen werden	No se pudieron cargar las consultas
Источник	Source	Quelle	Origen
Веб-приложение в	Web app in	Web-App in	Aplicación web en
Откройте веб-приложение через	Open the web app through	Öffne die Web-App über	Abre la aplicación web desde
чтобы отправить обращение и получить ответ.	to send a request and receive a reply.	um eine Anfrage zu senden und eine Antwort zu erhalten.	para enviar una consulta y recibir respuesta.
Техническая поддержка	Technical support	Technischer Support	Soporte técnico
Напишите нам — ответ появится здесь, а администратор получит уведомление.	Write to us. The reply will appear here and an administrator will be notified.	Schreib uns. Die Antwort erscheint hier und ein Administrator wird benachrichtigt.	Escríbenos. La respuesta aparecerá aquí y se avisará al administrador.
Тема	Topic	Thema	Tema
Опишите проблему	Describe the problem	Beschreibe das Problem	Describe el problema
Что произошло? Что вы ожидали увидеть?	What happened? What did you expect?	Was ist passiert? Was hast du erwartet?	¿Qué pasó? ¿Qué esperabas ver?
Отправить обращение	Send request	Anfrage senden	Enviar consulta
Мои обращения	My requests	Meine Anfragen	Mis consultas
Загружаем…	Loading…	Wird geladen…	Cargando…
Опишите проблему хотя бы в нескольких словах.	Describe the issue in at least a few words.	Beschreibe das Problem mit mindestens ein paar Worten.	Describe el problema al menos en unas palabras.
Обращение	Request	Anfrage	Consulta
отправлено.	sent.	gesendet.	enviada.
Не удалось отправить обращение	Could not send request	Anfrage konnte nicht gesendet werden	No se pudo enviar la consulta
Загружаем обращения…	Loading requests…	Anfragen werden geladen…	Cargando consultas…
Новых обращений нет.	No new requests.	Keine neuen Anfragen.	No hay consultas nuevas.
Пользователь	User	Nutzer	Usuario
Ответ пользователю…	Reply to user…	Antwort an Nutzer…	Respuesta al usuario…
Отправить ответ	Send reply	Antwort senden	Enviar respuesta
В работе	In progress	In Bearbeitung	En proceso
Есть ответ	Answered	Beantwortet	Respondida
Закрыто	Closed	Geschlossen	Cerrada
Не удалось изменить статус	Could not change status	Status konnte nicht geändert werden	No se pudo cambiar el estado
Светлая	Light	Hell	Claro
Тёмная	Dark	Dunkel	Oscuro
Включить светлую тему	Switch to light theme	Helles Design aktivieren	Activar tema claro
Включить тёмную тему	Switch to dark theme	Dunkles Design aktivieren	Activar tema oscuro
Подготовка «Священного слова»...	Preparing Sacred Word...	Heiliges Wort wird vorbereitet...	Preparando Palabra sagrada...
Не удалось подготовить игру	Could not prepare game	Spiel konnte nicht vorbereitet werden	No se pudo preparar el juego
Проверьте соединение и попробуйте открыть «Священное слово» ещё раз.	Check your connection and open Sacred Word again.	Prüfe die Verbindung und öffne Heiliges Wort erneut.	Revisa la conexión y abre Palabra sagrada de nuevo.
Усилители	Boosters	Verstärker	Potenciadores
за звёзды	for stars	für Sterne	por estrellas
Усилители перед стартом	Pre-game boosters	Verstärker vor Spielbeginn	Potenciadores antes de empezar
Уровень	Level	Level	Nivel
Путь света	Path of Light	Pfad des Lichts	Camino de la Luz
Уровень пройден!	Level complete!	Level geschafft!	¡Nivel completado!
из 3	of 3	von 3	de 3
Ходы	Moves	Züge	Movimientos
Каскад	Cascade	Kaskade	Cascada
Награды	Rewards	Belohnungen	Recompensas
Прогресс +1	Progress +1	Fortschritt +1	Progreso +1
Следующий уровень	Next level	Nächstes Level	Siguiente nivel
Цепь	Chain	Kette	Cadena
Скрижаль	Tablet	Gesetzestafel	Tabla
Лампада	Lamp	Öllampe	Lámpara
Тернии	Thorns	Dornen	Espinas
Ковчег	Ark	Arche	Arca
Ворота	Gate	Tor	Puerta
Обучение	Tutorial	Einführung	Tutorial
Пропустить	Skip	Überspringen	Saltar
Далее	Next	Weiter	Siguiente
Шаг	Step	Schritt	Paso
из	of	von	de
Иконка игры Библейские сокровища	Bible Treasures game icon	Bibelschätze-Spielsymbol	Icono de Tesoros bíblicos
Результат уровня	Level result	Levelergebnis	Resultado del nivel
