Обет	Vow	Gelübde	Voto
Гусли	Lyre	Leier	Lira
Кимвал	Cymbal	Zimbel	Címbalo
Ладан	Frankincense	Weihrauch	Incienso
Елей	Olive oil	Öl	Aceite
Медь	Copper	Kupfer	Cobre
Железо	Iron	Eisen	Hierro
Глина	Clay	Ton	Barro
Кирпич	Brick	Ziegel	Ladrillo
Шатёр	Tent	Zelt	Tienda
Колодезь	Well	Brunnen	Pozo
Роса	Dew	Tau	Rocío
Град	Hail	Hagel	Granizo
Снег	Snow	Schnee	Nieve
Ветер	Wind	Wind	Viento
Гром	Thunder	Donner	Trueno
Молния	Lightning	Blitz	Relámpago
Солнце	Sun	Sonne	Sol
Луна	Moon	Mond	Luna
Дым	Smoke	Rauch	Humo
Пепел	Ashes	Asche	Ceniza
Прах	Dust	Staub	Polvo
Суббота	Sabbath	Sabbat	Sábado
Праздник	Festival	Fest	Fiesta
Священник	Priest	Priester	Sacerdote
Левит	Levite	Levit	Levita
Фарисей	Pharisee	Pharisäer	Fariseo
Книжник	Scribe	Schriftgelehrter	Escriba
Мытарь	Tax collector	Zöllner	Recaudador
Раб	Slave	Sklave	Esclavo
Слуга	Servant	Diener	Siervo
Господин	Master	Herr	Señor
Работник	Worker	Arbeiter	Trabajador
Виноградник	Vineyard	Weinberg	Viñedo
Гумно	Threshing floor	Tenne	Era
Точило	Winepress	Kelter	Lagar
Житница	Granary	Kornspeicher	Granero
Странник	Stranger	Fremder	Peregrino
Сирота	Orphan	Waise	Huérfano
Вдова	Widow	Witwe	Viuda
Нищий	Beggar	Bettler	Mendigo
Долг	Debt	Schuld	Deuda
Милостыня	Alms	Almosen	Limosna
Клятва	Oath	Eid	Juramento
Дар	Gift	Gabe	Don
Десятина	Tithe	Zehnter	Diezmo
Приношение	Offering	Gabe	Ofrenda
Всесожжение	Burnt offering	Brandopfer	Holocausto
Жажда	Thirst	Durst	Sed
Пища	Food	Nahrung	Alimento
Трапеза	Meal	Mahlzeit	Comida
Вечеря	Supper	Abendmahl	Cena
Народ	People	Volk	Pueblo
Племя	Tribe	Stamm	Tribu
Колено	Tribe	Stamm	Tribu
Брат	Brother	Bruder	Hermano
Сестра	Sister	Schwester	Hermana
Юноша	Young man	Jüngling	Joven
Старец	Elder	Ältester	Anciano
Женщина	Woman	Frau	Mujer
Рука	Hand	Hand	Mano
Нога	Foot	Fuß	Pie
Глаз	Eye	Auge	Ojo
Ухо	Ear	Ohr	Oído
Уста	Lips	Lippen	Labios
Кость	Bone	Knochen	Hueso
Душа	Soul	Seele	Alma
Тело	Body	Körper	Cuerpo
Хлебы	Loaves	Brote	Panes
Сад	Garden	Garten	Jardín
Дерево	Tree	Baum	Árbol
Трава	Grass	Gras	Hierba
Цветок	Flower	Blume	Flor
Пастырь	Shepherd	Hirte	Pastor
Отрок	Boy	Knabe	Muchacho
Дитя	Child	Kind	Niño
Дочь	Daughter	Tochter	Hija
Жена	Wife	Ehefrau	Esposa
Муж	Husband	Ehemann	Esposo
Иисус Навин	Joshua	Josua	Josué
Амнон	Amnon	Amnon	Amnón
Седрах	Shadrach	Schadrach	Sadrac
Мисах	Meshach	Meschach	Mesac
Авденаго	Abednego	Abed-Nego	Abednego
Мордохей	Mordecai	Mordechai	Mardoqueo
Исайя	Isaiah	Jesaja	Isaías
Иезекииль	Ezekiel	Hesekiel	Ezequiel
Аввакум	Habakkuk	Habakuk	Habacuc
Захария	Zechariah	Sacharja	Zacarías
Иоанн Креститель	John the Baptist	Johannes der Täufer	Juan el Bautista
Мария (мать Иисуса)	Mary (mother of Jesus)	Maria (Mutter Jesu)	María (madre de Jesús)
Иисус Христос	Jesus Christ	Jesus Christus	Jesucristo
Иаков (апостол)	James (apostle)	Jakobus (Apostel)	Santiago (apóstol)
Иуда Искариот	Judas Iscariot	Judas Iskariot	Judas Iscariote
Вавилон	Babylon	Babylon	Babilonia
Гефсимания	Gethsemane	Gethsemane	Getsemaní
мирра	myrrh	Myrrhe	mirra
маслина	olive tree	Ölbaum	olivo
чаша	cup	Kelch	copa
мирт	myrtle	Myrte	mirto
терн	thorn	Dorn	espino
пастбище	pasture	Weide	pasto
башня	tower	Turm	torre
родник	spring	Quelle	manantial
кипарис	cypress	Zypresse	ciprés
шатер	tent	Zelt	tienda
меч	sword	Schwert	espada
ковёр	carpet	Teppich	alfombra
кора	bark	Rinde	corteza
жемчуг	pearls	Perlen	perlas
жемчужина	pearl	Perle	perla
Едем	Eden	Eden	Edén
Галаад	Gilead	Gilead	Galaad
Синай (гора)	Mount Sinai	Berg Sinai	Monte Sinaí
Тир	Tyre	Tyrus	Tiro
Сидон	Sidon	Sidon	Sidón
Вавилонская башня	Tower of Babel	Turm zu Babel	Torre de Babel
Пустыня Синайская	Sinai Desert	Sinaiwüste	Desierto del Sinaí
Море Галилейское	Sea of Galilee	See Genezareth	Mar de Galilea
Иордан (река)	Jordan River	Jordan	Río Jordán
Евфрат (река)	Euphrates River	Euphrat	Río Éufrates
Гора Елеонская	Mount of Olives	Ölberg	Monte de los Olivos
Газа	Gaza	Gaza	Gaza
Озеро Геннисаретское	Lake Gennesaret	See Genezareth	Lago de Genesaret
Вифезда	Bethesda	Bethesda	Betesda
Скиния собрания	Tent of Meeting	Stiftshütte	Tabernáculo de reunión
Кедрон (долина)	Kidron Valley	Kidrontal	Valle de Cedrón
Кущи (место праздника)	Festival booths	Laubhütten	Cabañas de la fiesta
Храм Соломона (в Иерусалиме)	Solomon Temple in Jerusalem	Salomos Tempel in Jerusalem	Templo de Salomón en Jerusalén
Патмос (остров)	Island of Patmos	Insel Patmos	Isla de Patmos
Апостолы	Apostles	Apostel	Apóstoles
Евангелисты	Evangelists	Evangelisten	Evangelistas
Патриархи	Patriarchs	Patriarchen	Patriarcas
Пророки	Prophets	Propheten	Profetas
Цари	Kings	Könige	Reyes
Жёны веры	Women of Faith	Frauen des Glaubens	Mujeres de fe
Женщины Библии	Women of the Bible	Frauen der Bibel	Mujeres de la Biblia
Команда Павла	Paul Team	Paulus und sein Team	Equipo de Pablo
Тит	Titus	Titus	Tito
Города	Cities	Städte	Ciudades
Чудеса	Miracles	Wunder	Milagros
Вода в вино	Water into Wine	Wasser zu Wein	Agua en vino
Накормил 5000	Feeding the 5000	Speisung der 5000	Alimentación de los 5000
Утихомирил бурю	Calming the Storm	Stillung des Sturms	Calmó la tormenta
Воскресил Лазаря	Raising Lazarus	Auferweckung des Lazarus	Resucitó a Lázaro
Всеоружие	Armor of God	Waffenrüstung Gottes	Armadura de Dios
Пояс истины	Belt of Truth	Gürtel der Wahrheit	Cinturón de la verdad
Броня праведности	Breastplate of Righteousness	Panzer der Gerechtigkeit	Coraza de justicia
Шлем спасения	Helmet of Salvation	Helm des Heils	Casco de salvación
Свет и призвание	Light and Calling	Licht und Berufung	Luz y vocación
Хлеб жизни	Bread of Life	Brot des Lebens	Pan de vida
Каменные слова	Words in Stone	Worte in Stein	Palabras de piedra
Зажги светильники	Light the Lamps	Entzünde die Lampen	Enciende las lámparas
Трубы надежды	Trumpets of Hope	Posaunen der Hoffnung	Trompetas de esperanza
Разорви цепи	Break the Chains	Sprenge die Ketten	Rompe las cadenas
Путь ковчега	Path of the Ark	Weg der Bundeslade	Camino del arca
Живой каскад	Living Cascade	Lebendige Kaskade	Cascada viva
Свет среди камней	Light among Stones	Licht zwischen Steinen	Luz entre piedras
Путь и испытания	Journey and Trials	Weg und Prüfungen	Camino y pruebas
Двойные скрижали	Double Tablets	Doppelte Tafeln	Tablas dobles
Плод виноградной лозы	Fruit of the Vine	Frucht des Weinstocks	Fruto de la vid
Освобождение	Liberation	Befreiung	Liberación
Семь светильников	Seven Lamps	Sieben Lampen	Siete lámparas
Венец и книга	Crown and Book	Krone und Buch	Corona y libro
Сильная комбинация	Powerful Combo	Starke Kombination	Combinación poderosa
Стены Иерихона	Walls of Jericho	Mauern von Jericho	Murallas de Jericó
Мир после бури	Peace after the Storm	Frieden nach dem Sturm	Paz tras la tormenta
Хлеб и рыбы	Bread and Fish	Brot und Fische	Pan y peces
Свет в испытании	Light in Trials	Licht in der Prüfung	Luz en la prueba
Царский путь	Royal Path	Königsweg	Camino real
Ковчег и скрижали	Ark and Tablets	Bundeslade und Tafeln	Arca y tablas
Песнь света	Song of Light	Lied des Lichts	Canto de luz
Свобода	Freedom	Freiheit	Libertad
Изобилие	Abundance	Überfluss	Abundancia
Свет и цепи	Light and Chains	Licht und Ketten	Luz y cadenas
Тройное испытание	Triple Trial	Dreifache Prüfung	Prueba triple
Великий урожай	Great Harvest	Große Ernte	Gran cosecha
Большой свет	Great Light	Großes Licht	Gran luz
Тернии и виноградник	Thorns and Vineyard	Dornen und Weinberg	Espinas y viñedo
Первая поросль	First Growth	Erster Wuchs	Primeros brotes
Лоза и плевелы	Vine and Weeds	Weinstock und Unkraut	Vid y cizaña
Светильники в терниях	Lamps in Thorns	Lampen in Dornen	Lámparas entre espinas
Скрижали в чаще	Tablets in the Thicket	Tafeln im Dickicht	Tablas en la espesura
Огонь очищения	Purifying Fire	Reinigendes Feuer	Fuego purificador
Рыбари в зарослях	Fishers in the Reeds	Fischer im Schilf	Pescadores entre juncos
Щит и терновый венец	Shield and Crown of Thorns	Schild und Dornenkrone	Escudo y corona de espinas
Каменное и живое	Stone and Life	Stein und Leben	Piedra y vida
Венец над полем	Crown over the Field	Krone über dem Feld	Corona sobre el campo
Выжженная чаща	Burned Thicket	Verbranntes Dickicht	Espesura quemada
Ковчег и скиния	Ark and Tabernacle	Bundeslade und Stiftshütte	Arca y tabernáculo
Ковчег в пути	Ark on the Journey	Bundeslade unterwegs	Arca en camino
Хлебы предложения	Bread of the Presence	Schaubrote	Panes de la proposición
Разорванные оковы	Broken Shackles	Zerbrochene Fesseln	Grilletes rotos
Скрижали в ковчеге	Tablets in the Ark	Tafeln in der Bundeslade	Tablas en el arca
Через тернии к скинии	Through Thorns to the Tabernacle	Durch Dornen zur Stiftshütte	Entre espinas hacia el tabernáculo
Свет над святилищем	Light over the Sanctuary	Licht über dem Heiligtum	Luz sobre el santuario
Каменный порог	Stone Threshold	Steinerne Schwelle	Umbral de piedra
Четыре ковчега	Four Arks	Vier Bundesladen	Cuatro arcas
Оковы и светильники	Shackles and Lamps	Fesseln und Lampen	Grilletes y lámparas
Скиния завета	Tabernacle of the Covenant	Stiftshütte des Bundes	Tabernáculo del pacto
Скиния	Tabernacle	Stiftshütte	Tabernáculo
Святилище	Sanctuary	Heiligtum	Santuario
Херувим	Cherub	Cherub	Querubín
Ефод	Ephod	Efod	Efod
Урим	Urim	Urim	Urim
Туммим	Thummim	Tummim	Tumim
Назорей	Nazirite	Nasiräer	Nazareo
Очищение	Purification	Reinigung	Purificación
Убежище	Refuge	Zuflucht	Refugio
Мститель	Avenger	Rächer	Vengador
Пленение	Exile	Verbannung	Destierro
Идолы	Idols	Götzen	Ídolos
Стена	Wall	Mauer	Muralla
Врата	Gates	Tore	Puertas
Созидание	Building	Aufbau	Edificación
Видение	Vision	Vision	Visión
Маслина	Olive tree	Ölbaum	Olivo
Колёса	Wheels	Räder	Ruedas
Кости	Bones	Knochen	Huesos
Дыхание	Breath	Atem	Aliento
Возрождение	Rebirth	Wiedergeburt	Renacimiento
Откровение	Revelation	Offenbarung	Apocalipsis
Таланты	Talents	Talente	Talentos
Отчёт	Account	Rechenschaft	Informe
Леность	Sloth	Trägheit	Pereza
Наказание	Punishment	Strafe	Castigo
Бесплодие	Barrenness	Unfruchtbarkeit	Esterilidad
Страдания	Sufferings	Leiden	Sufrimientos
Землетрясение	Earthquake	Erdbeben	Terremoto
Враги	Enemies	Feinde	Enemigos
Свидетель	Witness	Zeuge	Testigo
Слепота	Blindness	Blindheit	Ceguera
Путешествие	Journey	Reise	Viaje
Кораблекрушение	Shipwreck	Schiffbruch	Naufragio
Узы	Bonds	Fesseln	Cadenas
Темница	Prison	Gefängnis	Prisión
Пение	Singing	Gesang	Canto
Остров	Island	Insel	Isla
Патмос	Patmos	Patmos	Patmos
Церкви	Churches	Gemeinden	Iglesias
Печати	Seals	Siegel	Sellos
Всадники	Horsemen	Reiter	Jinetes
Конь	Horse	Pferd	Caballo
Меч	Sword	Schwert	Espada
Голод	Famine	Hunger	Hambre
Смерть	Death	Tod	Muerte
Язвы	Plagues	Plagen	Plagas
Чаша	Cup	Kelch	Copa
Зверь	Beast	Tier	Bestia
Печать	Seal	Siegel	Sello
Число	Number	Zahl	Número
Поклонение	Worship	Anbetung	Adoración
Изображение	Image	Bild	Imagen
Жизни	Life	Leben	Vida
Небо	Heaven	Himmel	Cielo
Земля	Earth	Erde	Tierra
Улицы	Streets	Straßen	Calles
Древо	Tree	Baum	Árbol
Народы	Nations	Völker	Naciones
Царство	Kingdom	Reich	Reino
Вечность	Eternity	Ewigkeit	Eternidad
Глас	Voice	Stimme	Voz
Полк	Regiment	Heer	Regimiento
Воинство	Host	Heerschar	Ejército
Битва	Battle	Schlacht	Batalla
Кровопролитие	Bloodshed	Blutvergießen	Derramamiento de sangre
Месть	Vengeance	Rache	Venganza
Ярость	Fury	Wut	Furia
Пламя	Flame	Flamme	Llama
Мрак	Gloom	Dunkelheit	Tinieblas
Бездна	Abyss	Abgrund	Abismo
Пропасть	Chasm	Kluft	Precipicio
Власть	Authority	Macht	Autoridad
Начала	Principalities	Fürstentümer	Principados
Господства	Dominions	Herrschaften	Dominios
Князь	Prince	Fürst	Príncipe
Легион	Legion	Legion	Legión
Отступление	Apostasy	Abfall	Apostasía
Лесть	Flattery	Schmeichelei	Adulación
Обещание	Promise	Versprechen	Promesa
Наследие	Heritage	Erbe	Legado
Торжество	Triumph	Triumph	Triunfo
Обновление	Renewal	Erneuerung	Renovación
Воздаяние	Recompense	Vergeltung	Retribución
Избавитель	Deliverer	Retter	Libertador
Нечестивый	Wicked person	Gottloser	Impío
Избранный	Chosen one	Auserwählter	Elegido
Служитель	Minister	Diener	Ministro
Преступление	Transgression	Übertretung	Transgresión
Беззаконие	Lawlessness	Gesetzlosigkeit	Iniquidad
Оправдание	Justification	Rechtfertigung	Justificación
Милосердие	Compassion	Barmherzigkeit	Misericordia
Спасение	Salvation	Rettung	Salvación
Мелхиседек	Melchizedek	Melchisedek	Melquisedec
Валаам	Balaam	Bileam	Balaam
Валак	Balak	Balak	Balac
Иофор	Jethro	Jitro	Jetro
Веселеил	Bezalel	Bezalel	Bezaleel
Надав	Nadab	Nadab	Nadab
Авиуд	Abihu	Abihu	Abiú
Корей	Korah	Korach	Coré
Дафан	Dathan	Datan	Datán
Авирон	Abiram	Abiram	Abiram
Финеес	Phinehas	Pinhas	Finees
Ахан	Achan	Achan	Acán
Раав	Rahab	Rahab	Rahab
Ахитофел	Ahithophel	Ahitofel	Ahitofel
Иоав	Joab	Joab	Joab
Авенир	Abner	Abner	Abner
Амессай	Amasa	Amasa	Amasa
Семей	Shimei	Schimi	Simei
Адония	Adonijah	Adonija	Adonías
Авиафар	Abiathar	Abjatar	Abiatar
Садок	Zadok	Zadok	Sadoc
Ванея	Benaiah	Benaja	Benaías
Гиезий	Gehazi	Gehasi	Giezi
Урия	Uriah	Uria	Urías
Иодай	Jehoiada	Jojada	Joiada
Гофолия	Athaliah	Atalja	Atalía
Иехония	Jeconiah	Jojachin	Jeconías
Седекия	Zedekiah	Zedekia	Sedequías
Зоровавель	Zerubbabel	Serubbabel	Zorobabel
Санаваллат	Sanballat	Sanballat	Sanbalat
Товия	Tobiah	Tobija	Tobías
Гесем	Geshem	Geschem	Gesem
Сузы	Susa	Susa	Susa
Харран	Haran	Haran	Harán
Лаодикия	Laodicea	Laodizea	Laodicea
Аравия	Arabia	Arabien	Arabia
Офир	Ophir	Ofir	Ofir
Фарсис	Tarshish	Tarschisch	Tarsis
Елам	Elam	Elam	Elam
Гог	Gog	Gog	Gog
Магог	Magog	Magog	Magog
Геенна	Gehenna	Gehenna	Gehena
Аваддон	Abaddon	Abaddon	Abadón
Веельзевул	Beelzebul	Beelzebul	Beelzebú
Молох	Molech	Moloch	Moloc
Ваал	Baal	Baal	Baal
Астарта	Ashtoreth	Astarte	Astarté
Дагон	Dagon	Dagon	Dagón
Милхом	Milcom	Milkom	Milcom
Престолы	Thrones	Throne	Tronos
Начальства	Principalities	Fürstentümer	Principados
Власти	Powers	Mächte	Potestades
Наперсник	Breastpiece	Brusttasche	Pectoral
Кидар	Turban	Turban	Turbante
Каждение	Burning incense	Räuchern	Quema de incienso
Фимиам	Incense	Räucherwerk	Incienso
Возлияние	Drink offering	Trankopfer	Libación
Потрясание	Wave offering	Schwingopfer	Ofrenda mecida
Первородство	Birthright	Erstgeburtsrecht	Primogenitura
Юбилей	Jubilee	Jubeljahr	Jubileo
Опресноки	Unleavened bread	Ungesäuertes Brot	Panes sin levadura
Кущи	Booths	Laubhütten	Cabañas
Труб	Trumpets	Posaunen	Trompetas
Отпущение	Release	Erlass	Remisión
Телица	Heifer	Jungkuh	Becerra
Истечение	Discharge	Ausfluss	Flujo
Скверна	Defilement	Befleckung	Contaminación
Нечистота	Uncleanness	Unreinheit	Impureza
Освящение	Sanctification	Heiligung	Santificación
Помазание	Anointing	Salbung	Unción
Посвящение	Dedication	Weihe	Consagración
Анафема	Anathema	Anathema	Anatema
Заклятие	Devoted to destruction	Bann	Consagrado a destrucción
Обрезание	Circumcision	Beschneidung	Circuncisión
Необрезание	Uncircumcision	Unbeschnittenheit	Incircuncisión
Синедрион	Sanhedrin	Sanhedrin	Sanedrín
Синагога	Synagogue	Synagoge	Sinagoga
Саддукеи	Sadducees	Sadduzäer	Saduceos
Претория	Praetorium	Prätorium	Pretorio
Суета	Vanity	Nichtigkeit	Vanidad
Томление	Vexation	Qual	Aflicción
Долготерпение	Longsuffering	Langmut	Paciencia
Благоволение	Favor	Wohlgefallen	Favor
Благочестие	Godliness	Frömmigkeit	Piedad
Кротость	Meekness	Sanftmut	Mansedumbre
Лицемерие	Hypocrisy	Heuchelei	Hipocresía
Злоречие	Slander	Verleumdung	Calumnia
Злословие	Reviling	Schmähung	Maledicencia
Гордыня	Pride	Hochmut	Orgullo
Уныние	Despondency	Mutlosigkeit	Desánimo
Обольщение	Deception	Verführung	Engaño
Лжепророк	False prophet	Falscher Prophet	Falso profeta
Антихрист	Antichrist	Antichrist	Anticristo
Первосвященник	High priest	Hohepriester	Sumo sacerdote
Искупление	Redemption	Erlösung	Redención
Умилостивление	Atonement	Sühne	Expiación
Вседержитель	Almighty	Allmächtiger	Todopoderoso
Саваоф	Lord of Hosts	Herr der Heerscharen	Señor de los ejércitos
Еммануил	Immanuel	Immanuel	Emanuel
Аллилуия	Hallelujah	Halleluja	Aleluya
Осанна	Hosanna	Hosianna	Hosanna
Аминь	Amen	Amen	Amén
Равви	Rabbi	Rabbi	Rabí
медный змей	bronze serpent	eherne Schlange	serpiente de bronce
тридцать сребренников	thirty silver coins	dreißig Silberstücke	treinta monedas de plata
венец из терна	crown of thorns	Dornenkrone	corona de espinas
лестница	ladder	Leiter	escalera
Арарат	Ararat	Ararat	Ararat
Мориа	Moriah	Morija	Moria
Тарс	Tarsus	Tarsus	Tarso
Афины	Athens	Athen	Atenas
Петр	Peter	Petrus	Pedro
море сделалось сушею	the sea became dry land	das Meer wurde trocken	el mar se volvió tierra seca
жезл Ааронов расцвел	Aaron rod blossomed	Aarons Stab blühte	la vara de Aarón floreció
отверз Господь уста ослицы	the Lord opened the donkey mouth	der Herr öffnete der Eselin den Mund	el Señor abrió la boca del asna
стена города обрушилась	the city wall fell	die Stadtmauer fiel	la muralla de la ciudad cayó
солнце остановилось	the sun stood still	die Sonne stand still	el sol se detuvo
огонь сошел с неба	fire came down from heaven	Feuer kam vom Himmel	cayó fuego del cielo
Иону бросили в море	Jonah was thrown into the sea	Jona wurde ins Meer geworfen	Jonás fue arrojado al mar
Иона был во чреве кита	Jonah was in the great fish	Jona war im großen Fisch	Jonás estuvo en el gran pez
Даниила бросили в ров львиный	Daniel was thrown into the lions den	Daniel wurde in die Löwengrube geworfen	Daniel fue arrojado al foso de los leones
три мужа ходят среди огня	three men walk in the fire	drei Männer gehen im Feuer	tres hombres caminan en el fuego
родился Иисус	Jesus was born	Jesus wurde geboren	nació Jesús
Иисус, крестившись, молился	Jesus prayed after being baptized	Jesus betete nach seiner Taufe	Jesús oró tras ser bautizado
вода сделалась вином	water became wine	Wasser wurde zu Wein	el agua se convirtió en vino
сделалась великая тишина	there was a great calm	es wurde ganz still	hubo una gran calma
Иисус шел по морю	Jesus walked on the sea	Jesus ging auf dem Meer	Jesús caminó sobre el mar
все ели и насытились	everyone ate and was satisfied	alle aßen und wurden satt	todos comieron y se saciaron
Лазарь! иди вон	Lazarus, come out	Lazarus, komm heraus	Lázaro, sal fuera
земля потряслась	the earth shook	die Erde bebte	la tierra tembló
завеса в храме раздралась	the temple curtain was torn	der Tempelvorhang zerriss	el velo del templo se rasgó
распяли Его	they crucified him	sie kreuzigten ihn	lo crucificaron
камень отвален от гроба	the stone was rolled from the tomb	der Stein wurde vom Grab weggerollt	la piedra fue apartada del sepulcro
Он воскрес	He is risen	Er ist auferstanden	Él resucitó
стал подниматься	he ascended	er fuhr auf	ascendió
исполнились все Духа Святого	all were filled with the Holy Spirit	alle wurden mit dem Heiligen Geist erfüllt	todos fueron llenos del Espíritu Santo
Савл, Савл! что ты гонишь Меня?	Saul, Saul, why do you persecute me?	Saul, Saul, warum verfolgst du mich?	Saulo, Saulo, ¿por qué me persigues?
Петр вышел из темницы	Peter left the prison	Petrus verließ das Gefängnis	Pedro salió de la prisión
поколебалось основание темницы	the prison foundations shook	die Gefängnisfundamente bebten	temblaron los cimientos de la prisión
Павел и Сила молились	Paul and Silas prayed	Paulus und Silas beteten	Pablo y Silas oraban
змей повис на руке его	a snake fastened onto his hand	eine Schlange hing an seiner Hand	una serpiente se prendió de su mano
воробей	sparrow	Sperling	gorrión
муравей	ant	Ameise	hormiga
виноградная лоза	grapevine	Weinrebe	vid
горчичное зерно	mustard seed	Senfkorn	grano de mostaza
рыболов	fisher	Fischer	pescador
плотник	carpenter	Zimmermann	carpintero
горшечник	potter	Töpfer	alfarero
кузнец	blacksmith	Schmied	herrero
ткач	weaver	Weber	tejedor
жнец	reaper	Schnitter	segador
виноградарь	vinedresser	Winzer	viñador
земледелец	farmer	Bauer	agricultor
хлебодар	baker	Bäcker	panadero
виночерпий	cupbearer	Mundschenk	copero
воин	warrior	Krieger	guerrero
сотник	centurion	Hauptmann	centurión
строитель	builder	Baumeister	constructor
каменотёс	stonemason	Steinmetz	cantero
корабельщик	shipbuilder	Schiffbauer	carpintero naval
врач	physician	Arzt	médico
привратник	gatekeeper	Torhüter	portero
серебряник	silversmith	Silberschmied	platero
делатель палаток	tentmaker	Zeltmacher	fabricante de tiendas
садовник	gardener	Gärtner	jardinero
кожевник	tanner	Gerber	curtidor
страж	watchman	Wächter	vigilante
певец	singer	Sänger	cantor
Иордан	Jordan	Jordan	Jordán
Иерихон	Jericho	Jericho	Jericó
скиния	tabernacle	Stiftshütte	tabernáculo
